no,author,text,platform,label
1,EviAdam7,"IKN nusantara menghadirkan konsep pembangunan Indonesia sentris
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/aSf3S17W16",twitter,netral
2,updatesivana,"Dengan IKN, pemerintah percepat digitalisasi.   #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/et1iAeCPU8",twitter,negatif
3,Wahyufby01,@alisyarief Gini amat nyari dana buat ikn...  Sedangkan mereka enak2 korupsi dari uang rakyat.. Dikira gaji 5 jta itu besar kali dengan kebutuhan yg pada naik semua karna tidak becusnya menata perekonomian..,twitter,positif
4,Jodi17846282,"PEMERINTAH JAMIN HUNIAN IKN NUSANTARA AMAN 100℅
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/9hV6Im8Jn3",twitter,negatif
5,Jodi17846282,"SINERGI BERKOMITMEN, MARI DUKUNG PEMBANGUNAN IKN
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/6MTqwCBb2I",twitter,netral
6,Lesli89280941,"IKN Nusantara menjadi tantangan nyata untuk pelaku UMKM dalam buka peluang bisnis dan penggerak ekonomi. Kami hadir mendukung ❤️

#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju https://t.co/hNQitsfKnp",twitter,positif
7,Jodi17846282,"RAKYAT DUKUNG PEMBANGUNAN IKN
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/KfnndI4Ap7",twitter,netral
8,Infoteerkini,"IKN Indonesia baru bernama Nusantara.
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/omouhD2KP2",twitter,negatif
9,updatesivana,IKN Nusantara jadi buka peluang lapangan kerja baru #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/aCaJ0k7IQF,twitter,netral
10,Indrafirman7777,"Pembangunan IKN untuk pemerataan ekonomi
#KotaDuniaUntukSemua
#IKNSejahterakanIndonesia
#IKNPemerataanEkonomi
#IKNtingkatkanKesejahteraan
#DukungIKNNusantara
#IndonesiaMaju
#IbukotaBaruMendunia https://t.co/1YfbrMJix4",twitter,positif
