no,author,text,month,date
1,Darleen65469593,"IKN Nusantara akan berperan sebagai pusat ekonomi baru dan wujud era baru transformasi ekonomi. 

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/82gTrnqoAm",Februari,2023-04-07 07:58:39+00:00
2,ourlittleboyz,"@maryshelparaiso Diperlukan dukungan dari seluruh pihak agar pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/mzBc3HiJL8",Februari,2023-04-07 07:58:33+00:00
3,_pritynica,"Bersama kita dukung pembangunan IKN Nusantara 👍🇮🇩💯
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/0TmoIUZ6cF",Februari,2023-04-07 07:58:26+00:00
4,supian_ator,@P3n99u94t @MonCha65938734 IKN mangkrak 🤣🤣,Februari,2023-04-07 07:58:23+00:00
5,beritanusantar,"Jokowi perintahkan Menteri PUPR untuk membuat peta rencana detail tata ruang (RDTR) otorita IKN

Paris | Little Women | Suzy | Coldplay | Madame Gie | Libur | The Glory | #ONEPIECE1080 | Gorengan Harga Mati | Na PD | Jumat Agung | Baeksang | #anisd | #BreakingNews https://t.co/200kfsFoih",Februari,2023-04-07 07:57:55+00:00
6,HanifRa050191,"Bersama kita dukung pembangunan IKN Nusantara
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/dbFn0baSQm",Februari,2023-04-07 07:57:52+00:00
7,ourlittleboyz,"@ririnrurin @maryshelparaiso Diperlukan dukungan dari seluruh pihak agar pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/inNKLgqpXG",Februari,2023-04-07 07:57:43+00:00
8,HanifRa050191,"IKN Nusantara merupakan era transformasi ekonomi
#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/ltN0yUbqzy",Februari,2023-04-07 07:57:37+00:00
9,ourlittleboyz,"@Opposih6890bio @maryshelparaiso Diperlukan dukungan dari seluruh pihak agar pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara",Februari,2023-04-07 07:57:34+00:00
10,ourlittleboyz,"@BergetarNusa @maryshelparaiso Diperlukan dukungan dari seluruh pihak agar pembangunan IKN bisa berjalan sesuai rencana dan target pemerintah.

#IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/mKkHnx9knd",Februari,2023-04-07 07:57:31+00:00
